iter	Passed	Remaining
718	5895	2303
719	5900	2294
720	5906	2285
721	5913	2276
722	5918	2267
723	5924	2258
724	5932	2250
725	5942	2242
726	5950	2234
727	5955	2225
728	5962	2216
729	5968	2207
730	5975	2198
731	5982	2190
732	5987	2181
733	5995	2172
734	6001	2163
735	6009	2155
736	6015	2146
737	6021	2137
738	6028	2128
739	6034	2120
740	6043	2112
741	6051	2104
742	6059	2095
743	6064	2086
744	6071	2078
745	6077	2069
746	6084	2060
747	6091	2052
748	6097	2043
749	6104	2034
750	6110	2025
751	6116	2017
752	6123	2008
753	6130	2000
754	6138	1991
755	6143	1982
756	6149	1973
757	6155	1965
758	6161	1956
759	6167	1947
760	6173	1938
761	6178	1929
762	6185	1921
763	6191	1912
764	6199	1904
765	6205	1895
766	6211	1886
767	6218	1878
768	6224	1869
769	6230	1861
770	6236	1852
771	6243	1844
772	6251	1835
773	6258	1827
774	6265	1819
775	6272	1810
776	6281	1802
777	6289	1794
778	6298	1786
779	6306	1778
780	6314	1770
781	6322	1762
782	6332	1755
783	6343	1747
784	6351	1739
785	6357	1731
786	6365	1722
787	6371	1714
788	6377	1705
789	6383	1696
790	6389	1688
791	6396	1679
792	6402	1671
793	6407	1662
794	6414	1653
795	6419	1645
796	6425	1636
797	6432	1628
798	6438	1619
799	6444	1611
800	6453	1603
801	6460	1595
802	6466	1586
803	6472	1577
804	6478	1569
805	6483	1560
806	6491	1552
807	6497	1544
808	6503	1535
809	6510	1527
810	6515	1518
811	6522	1510
812	6528	1501
813	6533	1493
814	6541	1484
815	6549	1476
816	6556	1468
817	6562	1460
818	6567	1451
819	6574	1443
820	6580	1434
821	6586	1426
822	6592	1417
823	6597	1409
824	6605	1401
825	6610	1392
826	6620	1384
827	6626	1376
828	6632	1368
829	6638	1359
830	6644	1351
831	6650	1342
832	6657	1334
833	6663	1326
834	6671	1318
835	6676	1309
836	6683	1301
837	6688	1293
838	6694	1284
839	6704	1277
840	6712	1269
841	6720	1261
842	6728	1253
843	6737	1245
844	6745	1237
845	6753	1229
846	6761	1221
847	6770	1213
848	6778	1205
849	6787	1197
850	6795	1189
851	6803	1181
852	6812	1174
853	6820	1166
854	6829	1158
855	6836	1150
856	6842	1141
857	6849	1133
858	6856	1125
859	6864	1117
860	6869	1109
861	6875	1100
862	6881	1092
863	6887	1084
864	6894	1076
865	6899	1067
866	6906	1059
867	6913	1051
868	6918	1042
869	6924	1034
870	6930	1026
871	6936	1018
872	6943	1010
873	6949	1001
874	6955	993
875	6963	985
876	6969	977
877	6976	969
878	6982	961
879	6987	952
880	6994	944
881	6999	936
882	7006	928
883	7013	920
884	7019	912
885	7025	904
886	7031	895
887	7038	887
888	7043	879
889	7049	871
890	7056	863
891	7064	855
892	7070	847
893	7076	839
894	7081	830
895	7089	822
896	7094	814
897	7100	806
898	7108	798
899	7115	790
900	7123	782
901	7129	774
902	7136	766
903	7141	758
904	7147	750
905	7154	742
906	7159	734
907	7168	726
908	7175	718
909	7181	710
910	7187	702
911	7193	694
912	7201	686
913	7208	678
914	7215	670
915	7222	662
916	7230	654
917	7238	646
918	7247	638
919	7254	630
920	7261	622
921	7270	615
922	7278	607
923	7286	599
924	7293	591
925	7302	583
926	7308	575
927	7315	567
928	7321	559
929	7330	551
930	7336	543
931	7341	535
932	7348	527
933	7353	519
934	7360	511
935	7367	503
936	7373	495
937	7380	487
938	7386	479
939	7392	471
940	7398	463
941	7404	455
942	7411	447
943	7417	439
944	7422	432
945	7431	424
946	7436	416
947	7445	408
948	7451	400
949	7460	392
950	7465	384
951	7471	376
952	7478	368
953	7484	360
954	7491	353
955	7497	345
956	7502	337
957	7510	329
958	7515	321
959	7523	313
960	7528	305
961	7534	297
962	7541	289
963	7547	281
964	7552	273
965	7558	266
966	7564	258
967	7571	250
968	7578	242
969	7584	234
970	7593	226
971	7599	218
972	7605	211
973	7611	203
974	7616	195
975	7622	187
976	7628	179
977	7635	171
978	7640	163
979	7648	156
980	7654	148
981	7660	140
982	7666	132
983	7672	124
984	7677	116
985	7686	109
986	7694	101
987	7702	93
988	7713	85
989	7721	77
990	7731	70
991	7738	62
992	7746	54
993	7754	46
994	7762	39
995	7769	31
996	7776	23
997	7783	15
998	7791	7
999	7802	0
